Ranunculus ficaria
Ranunculus repens
Rhamnus L.23
Rhamnus cathartica
Rhodomyrtus tomentosa
Rhodomyrtus tomentosus
Ribes L.24
Robinia pseudoacacia
Rorippa amphibia
Rorippa austriaca
Rorippa sylvestris
Rosa multiflora
Rosa rugosa
Rottboellia cochinchinensis
Rottboellia exaltata
Rubus argutus
Rubus armeniacus
Rubus discolor
Rubus ellipticus
Rubus fruticosus
Rubus moluccanus
Rubus niveus
Rubus phoenicolasius
Rubus sieboldii
Rumex L.
Rumex acetosella
Rumex altissimus
Rumex crispus
Saccharum spontaneum
Sagittaria graminea
Sagittaria sagittifolia
Salsola L.
Salsola collina
Salsola kali
Salsola paulsenii
Salsola tragus
Salsola kali
Salsola vermiculata
Salvia aethiopis
Salvia pratensis
Salvia sclarea
Salvia virgata
Salvinia Ség.27,
Salvinia auriculata
Salvinia biloba
Salvinia herzogii
Salvinia molesta
Saponaria officinalis
Schinus terebinthifolius
Scolymus L.
Scolymus hispanicus
Secale cereale
Senecio inaequidens
Senecio jacobaea
Senecio madagascariensis
Senecio squalidus
Senecio vulgaris
Sesbania herbacea
Sesbania exaltata
Setaria faberi
Setaria pumila
Setaria pumila
Setaria pallidifusca
Sicyos angulatus
Silene latifolia
Silphium perfoliatum
Silybum Adans.
Silybum marianum
Sinapis L.
Sinapis arvensis
Sinapis arvensis
Brassica arvensis
Brassica kaber
Solanum cardiophyllum
Solanum carolinense
Solanum dimidiatum
Solanum dulcamara
Solanum elaeagnifolium
Solanum lanceolatum
Solanum marginatum
Solanum ptycanthum
Solanum robustum
Solanum rostratum
Solanum tampicense
Solanum torvum
Solanum viarum
Soliva sessilis
Sonchus arvensis
Sonchus arvensis
Sorghum almum
Sorghum bicolor
Sorghum halepense
Sorghum propinquum
Sparganium erectum
Spartina alterniflora
Spartina anglica
Spartina densiflora
Spartina patens
Spartium junceum
Spermacoce alata
Borreria alata
Sphaerophysa salsula
Stachys floridana
Stratiotes aloides
Striga Lour.
Striga asiatica
Symphytum asperum
Taeniatherum caput-medusae
Tagetes minuta
Tamarix L.
Tamarix chinensis
Tamarix parviflora
Tamarix ramosissima
Tanacetum vulgare
Themeda villosa
Thymelaea passerina
Tibouchina Aubl.
Torilis arvensis
Toxicodendron pubescens
Rhus toxicodendron
Toxicodendron radicans
Toxicodendron vernix
Trapa L.
Trapa bicornis
Trapa natans
Triadica sebifera
Sapium sebiferum
Tribulus terrestris
Tridax procumbens
Tripleurospermum perforatum
Matricaria perforata
Triumfetta rhomboidea
Triumfetta semitriloba
Tussilago farfara
Ulex europaeus
Ulmus pumila
Urena lobata
Urochloa panicoides
Utricularia inflata
Valeriana officinalis
Verbascum blattaria
Verbascum thapsus
Viscum album
Vitis L.31
Vossia cuspidata
Xanthium L.
Xanthium spinosum
Xanthium strumarium
Xanthium commune
Zygophyllum fabago
